Week,price_per_gallon
2008-12-01,1.926
2008-12-08,1.815
2008-12-15,1.751
2008-12-22,1.753
2008-12-29,1.713
2009-01-05,1.745
2009-01-12,1.879
2009-01-19,1.944
2009-01-26,1.945
2009-02-02,1.986
2009-02-09,2.024
2009-02-16,2.069
2009-02-23,2.018
2009-03-02,2.022
2009-03-09,2.03
2009-03-16,2.018
2009-03-23,2.048
2009-03-30,2.129
2009-04-06,2.142
2009-04-13,2.157
2009-04-20,2.161
2009-04-27,2.142
2009-05-04,2.133
2009-05-11,2.299
2009-05-18,2.376
2009-05-25,2.455
2009-06-01,2.527
2009-06-08,2.632
2009-06-15,2.71
2009-06-22,2.754
2009-06-29,2.734
2009-07-06,2.701
2009-07-13,2.625
2009-07-20,2.552
2009-07-27,2.532
2009-08-03,2.575
2009-08-10,2.644
2009-08-17,2.676
2009-08-24,2.654
2009-08-31,2.639
2009-09-07,2.596
2009-09-14,2.556
2009-09-21,2.515
2009-09-28,2.479
2009-10-05,2.449
2009-10-12,2.486
2009-10-19,2.612
2009-10-26,2.763
2009-11-02,2.788
2009-11-09,2.761
2009-11-16,2.736
2009-11-23,2.728
2009-11-30,2.724
2009-12-07,2.743
2009-12-14,2.694
2009-12-21,2.689
2009-12-28,2.69
2010-01-04,2.746
2010-01-11,2.829
2010-01-18,2.856
2010-01-25,2.816
2010-02-01,2.777
2010-02-08,2.744
2010-02-15,2.715
2010-02-22,2.757
2010-03-01,2.812
2010-03-08,2.853
2010-03-15,2.897
2010-03-22,2.902
2010-03-29,2.876
2010-04-05,2.883
2010-04-12,2.926
2010-04-19,2.925
2010-04-26,2.904
2010-05-03,2.944
2010-05-10,2.959
2010-05-17,2.918
2010-05-24,2.851
2010-05-31,2.766
2010-06-07,2.723
2010-06-14,2.688
2010-06-21,2.732
2010-06-28,2.742
2010-07-05,2.718
2010-07-12,2.696
2010-07-19,2.688
2010-07-26,2.725
2010-08-02,2.733
2010-08-09,2.788
2010-08-16,2.755
2010-08-23,2.71
2010-08-30,2.681
2010-09-06,2.663
2010-09-13,2.708
2010-09-20,2.758
2010-09-27,2.732
2010-10-04,2.748
2010-10-11,2.85
2010-10-18,2.874
2010-10-25,2.853
2010-11-01,2.833
2010-11-08,2.878
2010-11-15,2.918
2010-11-22,2.918
2010-11-29,2.907
2010-12-06,3.003
2010-12-13,3.045
2010-12-20,3.04
2010-12-27,3.142
2011-01-03,3.142
2011-01-10,3.161
2011-01-17,3.187
2011-01-24,3.185
2011-01-31,3.154
2011-02-07,3.173
2011-02-14,3.187
2011-02-21,3.209
2011-02-28,3.457
2011-03-07,3.604
2011-03-14,3.62
2011-03-21,3.605
2011-03-28,3.64
2011-04-04,3.717
2011-04-11,3.835
2011-04-18,3.881
2011-04-25,3.875
2011-05-02,3.942
2011-05-09,3.982
2011-05-16,3.964
2011-05-23,3.868
2011-05-30,3.783
2011-06-06,3.731
2011-06-13,3.676
2011-06-20,3.642
2011-06-27,3.581
2011-07-04,3.547
2011-07-11,3.659
2011-07-18,3.71
2011-07-25,3.739
2011-08-01,3.766
2011-08-08,3.724
2011-08-15,3.655
2011-08-22,3.613
2011-08-29,3.619
2011-09-05,3.662
2011-09-12,3.638
2011-09-19,3.592
2011-09-26,3.51
2011-10-03,3.444
2011-10-10,3.404
2011-10-17,3.474
2011-10-24,3.5
2011-10-31,3.478
2011-11-07,3.44
2011-11-14,3.473
2011-11-21,3.432
2011-11-28,3.374
2011-12-05,3.345
2011-12-12,3.363
2011-12-19,3.324
2011-12-26,3.321
2012-01-02,3.385
2012-01-09,3.491
2012-01-16,3.485
2012-01-23,3.5
2012-01-30,3.599
2012-02-06,3.617
2012-02-13,3.716
2012-02-20,3.738
2012-02-27,3.822
2012-03-05,3.858
2012-03-12,3.853
2012-03-19,3.893
2012-03-26,3.976
2012-04-02,3.995
2012-04-09,4.032
2012-04-16,3.999
2012-04-23,3.935
2012-04-30,3.854
2012-05-07,3.769
2012-05-14,3.687
2012-05-21,3.613
2012-05-28,3.536
2012-06-04,3.489
2012-06-11,3.428
2012-06-18,3.387
2012-06-25,3.331
2012-07-02,3.258
2012-07-09,3.349
2012-07-16,3.363
2012-07-23,3.476
2012-07-30,3.493
2012-08-06,3.608
2012-08-13,3.695
2012-08-20,3.717
2012-08-27,3.801
2012-09-03,3.842
2012-09-10,3.843
2012-09-17,3.865
2012-09-24,3.816
2012-10-01,3.762
2012-10-08,3.734
2012-10-15,3.789
2012-10-22,3.698
2012-10-29,3.575
2012-11-05,3.489
2012-11-12,3.426
2012-11-19,3.389
2012-11-26,3.458
2012-12-03,3.433
2012-12-10,3.394
2012-12-17,3.321
2012-12-24,3.334
2012-12-31,3.442
2013-01-07,3.469
2013-01-14,3.529
2013-01-21,3.486
2013-01-28,3.488
2013-02-04,3.648
2013-02-11,3.723
2013-02-18,3.858
2013-02-25,3.925
2013-03-04,3.876
2013-03-11,3.831
2013-03-18,3.79
2013-03-25,3.748
2013-04-01,3.699
2013-04-08,3.655
2013-04-15,3.596
2013-04-22,3.534
2013-04-29,3.513
2013-05-06,3.503
2013-05-13,3.559
2013-05-20,3.551
2013-05-27,3.55
2013-06-03,3.529
2013-06-10,3.537
2013-06-17,3.604
2013-06-24,3.588
2013-07-01,3.533
2013-07-08,3.517
2013-07-15,3.646
2013-07-22,3.693
2013-07-29,3.688
2013-08-05,3.663
2013-08-12,3.61
2013-08-19,3.589
2013-08-26,3.592
2013-09-02,3.667
2013-09-09,3.64
2013-09-16,3.561
2013-09-23,3.492
2013-09-30,3.43
2013-10-07,3.386
2013-10-14,3.37
2013-10-21,3.431
2013-10-28,3.366
2013-11-04,3.329
2013-11-11,3.29
2013-11-18,3.351
2013-11-25,3.536
2013-12-02,3.569
2013-12-09,3.535
2013-12-16,3.493
2013-12-23,3.487
2013-12-30,3.496
2014-01-06,3.532
2014-01-13,3.499
2014-01-20,3.465
2014-01-27,3.449
2014-02-03,3.424
2014-02-10,3.408
2014-02-17,3.484
2014-02-24,3.551
2014-03-03,3.538
2014-03-10,3.548
2014-03-17,3.636
2014-03-24,3.644
2014-03-31,3.737
2014-04-07,3.742
2014-04-14,3.777
2014-04-21,3.839
2014-04-28,3.823
2014-05-05,3.788
2014-05-12,3.752
2014-05-19,3.721
2014-05-26,3.698
2014-06-02,3.667
2014-06-09,3.65
2014-06-16,3.636
2014-06-23,3.691
2014-06-30,3.708
2014-07-07,3.677
2014-07-14,3.638
2014-07-21,3.578
2014-07-28,3.518
2014-08-04,3.485
2014-08-11,3.441
2014-08-18,3.415
2014-08-25,3.398
2014-09-01,3.451
2014-09-08,3.431
2014-09-15,3.387
2014-09-22,3.359
2014-09-29,3.353
2014-10-06,3.396
2014-10-13,3.319
2014-10-20,3.217
2014-10-27,3.11
2014-11-03,3.041
2014-11-10,3.002
2014-11-17,2.952
2014-11-24,2.9
2014-12-01,2.862
2014-12-08,2.794
2014-12-15,2.69
2014-12-22,2.574
2014-12-29,2.486
2015-01-05,2.406
2015-01-12,2.307
2015-01-19,2.206
2015-01-26,2.155
2015-02-02,2.148
2015-02-09,2.266
2015-02-16,2.389
2015-02-23,2.426
2015-03-02,2.534
2015-03-09,2.526
2015-03-16,2.522
2015-03-23,2.5
2015-03-30,2.637
2015-04-06,2.566
2015-04-13,2.544
2015-04-20,2.566
2015-04-27,2.65
2015-05-04,2.653
2015-05-11,2.697
2015-05-18,2.689
2015-05-25,2.733
2015-06-01,2.715
2015-06-08,2.784
2015-06-15,2.795
2015-06-22,2.777
2015-06-29,2.769
2015-07-06,2.745
2015-07-13,2.728
2015-07-20,2.677
2015-07-27,2.636
2015-08-03,2.563
2015-08-10,2.511
2015-08-17,2.491
2015-08-24,2.438
2015-08-31,2.362
2015-09-07,2.325
2015-09-14,2.282
2015-09-21,2.216
2015-09-28,2.211
2015-10-05,2.228
2015-10-12,2.322
2015-10-19,2.268
2015-10-26,2.203
2015-11-02,2.176
2015-11-09,2.236
2015-11-16,2.289
2015-11-23,2.204
2015-11-30,2.168
2015-12-07,2.153
2015-12-14,2.135
2015-12-21,2.127
2015-12-28,2.11
2016-01-04,2.092
2016-01-11,2.064
2016-01-18,1.999
2016-01-25,1.958
2016-02-01,1.921
2016-02-08,1.887
2016-02-15,1.857
2016-02-22,1.857
2016-02-29,1.85
2016-03-07,1.972
2016-03-14,2.019
2016-03-21,2.151
2016-03-28,2.176
2016-04-04,2.171
2016-04-11,2.154
2016-04-18,2.153
2016-04-25,2.162
2016-05-02,2.327
2016-05-09,2.308
2016-05-16,2.288
2016-05-23,2.306
2016-05-30,2.339
2016-06-06,2.463
2016-06-13,2.448
2016-06-20,2.4
2016-06-27,2.359
2016-07-04,2.34
2016-07-11,2.305
2016-07-18,2.248
2016-07-25,2.206
2016-08-01,2.169
2016-08-08,2.144
2016-08-15,2.199
2016-08-22,2.238
2016-08-29,2.323
2016-09-05,2.34
2016-09-12,2.308
2016-09-19,2.281
2016-09-26,2.268
2016-10-03,2.271
2016-10-10,2.315
2016-10-17,2.382
2016-10-24,2.367
2016-10-31,2.342
2016-11-07,2.313
2016-11-14,2.267
2016-11-21,2.197
2016-11-28,2.198
2016-12-05,2.318
2016-12-12,2.339
2016-12-19,2.455
2016-12-26,2.441
2017-01-02,2.552
2017-01-09,2.531
2017-01-16,2.493
2017-01-23,2.449
2017-01-30,2.412
2017-02-06,2.384
2017-02-13,2.375
2017-02-20,2.383
2017-02-27,2.372
2017-03-06,2.394
2017-03-13,2.372
2017-03-20,2.363
2017-03-27,2.415
2017-04-03,2.422
2017-04-10,2.573
2017-04-17,2.552
2017-04-24,2.61
2017-05-01,2.551
2017-05-08,2.483
2017-05-15,2.432
2017-05-22,2.416
2017-05-29,2.41
2017-06-05,2.517
2017-06-12,2.459
2017-06-19,2.374
2017-06-26,2.301
2017-07-03,2.256
2017-07-10,2.249
2017-07-17,2.234
2017-07-24,2.338
2017-07-31,2.436
2017-08-07,2.407
2017-08-14,2.385
2017-08-21,2.358
2017-08-28,2.459
2017-09-04,2.85
2017-09-11,2.836
2017-09-18,2.82
2017-09-25,2.777
2017-10-02,2.708
2017-10-09,2.62
2017-10-16,2.548
2017-10-23,2.504
2017-10-30,2.477
2017-11-06,2.485
2017-11-13,2.671
2017-11-20,2.612
2017-11-27,2.578
2017-12-04,2.552
2017-12-11,2.518
2017-12-18,2.479
2017-12-25,2.451
2018-01-01,2.588
2018-01-08,2.579
2018-01-15,2.577
2018-01-22,2.682
2018-01-29,2.676
2018-02-05,2.745
2018-02-12,2.775
2018-02-19,2.677
2018-02-26,2.618
2018-03-05,2.661
2018-03-12,2.589
2018-03-19,2.666
2018-03-26,2.679
2018-04-02,2.773
2018-04-09,2.727
2018-04-16,2.733
2018-04-23,2.874
2018-04-30,2.857
2018-05-07,2.831
2018-05-14,2.854
2018-05-21,2.855
2018-05-28,2.942
2018-06-04,2.887
2018-06-11,2.816
2018-06-18,2.771
2018-06-25,2.726
2018-07-02,2.764
2018-07-09,2.749
2018-07-16,2.825
2018-07-23,2.776
2018-07-30,2.801
2018-08-06,2.784
2018-08-13,2.835
2018-08-20,2.786
2018-08-27,2.756
2018-09-03,2.832
2018-09-10,2.792
2018-09-17,2.777
2018-09-24,2.764
2018-10-01,2.863
2018-10-08,2.861
2018-10-15,2.834
2018-10-22,2.795
2018-10-29,2.741
2018-11-05,2.671
2018-11-12,2.608
2018-11-19,2.543
2018-11-26,2.455
2018-12-03,2.374
2018-12-10,2.335
2018-12-17,2.332
2018-12-24,2.269
2018-12-31,2.218
2019-01-07,2.175
2019-01-14,2.18
2019-01-21,2.273
2019-01-28,2.262
2019-02-04,2.32
2019-02-11,2.284
2019-02-18,2.275
2019-02-25,2.383
2019-03-04,2.503
2019-03-11,2.501
2019-03-18,2.65
2019-03-25,2.653
2019-04-01,2.772
2019-04-08,2.745
2019-04-15,2.822
2019-04-22,2.771
2019-04-29,2.737
2019-05-06,2.805
2019-05-13,2.732
2019-05-20,2.673
2019-05-27,2.627
2019-06-03,2.593
2019-06-10,2.619
2019-06-17,2.505
2019-06-24,2.451
2019-07-01,2.565
2019-07-08,2.702
2019-07-15,2.656
2019-07-22,2.686
2019-07-29,2.594
2019-08-05,2.527
2019-08-12,2.45
2019-08-19,2.436
2019-08-26,2.389
2019-09-02,2.48
2019-09-09,2.459
2019-09-16,2.429
2019-09-23,2.528
2019-09-30,2.465
2019-10-07,2.495
2019-10-14,2.437
2019-10-21,2.488
2019-10-28,2.418
2019-11-04,2.473
2019-11-11,2.429
2019-11-18,2.399
2019-11-25,2.402
2019-12-02,2.48
2019-12-09,2.554
2019-12-16,2.494
2019-12-23,2.457
2019-12-30,2.494
2020-01-06,2.576
2020-01-13,2.52
2020-01-20,2.546
2020-01-27,2.474
2020-02-03,2.401
2020-02-10,2.409
2020-02-17,2.357
2020-02-24,2.444
2020-03-02,2.374
2020-03-09,2.309
2020-03-16,2.217
2020-03-23,2.121
2020-03-30,2.014
2020-04-06,1.949
2020-04-13,1.897
2020-04-20,1.86
2020-04-27,1.837
2020-05-04,1.821
2020-05-11,1.817
2020-05-18,1.819
2020-05-25,1.941
2020-06-01,1.943
2020-06-08,1.96
2020-06-15,2.067
2020-06-22,2.078
2020-06-29,2.08
2020-07-06,2.162
2020-07-13,2.164
2020-07-20,2.129
2020-07-27,2.11
2020-08-03,2.203
2020-08-10,2.175
2020-08-17,2.132
2020-08-24,2.11
2020-08-31,2.107
2020-09-07,2.246
2020-09-14,2.208
2020-09-21,2.167
2020-09-28,2.126
2020-10-05,2.227
2020-10-12,2.198
2020-10-19,2.159
2020-10-26,2.111
2020-11-02,2.071
2020-11-09,2.03
2020-11-16,2.023
2020-11-23,2.069
2020-11-30,2.075
2020-12-07,2.195
2020-12-14,2.178
2020-12-21,2.251
2020-12-28,2.245
2021-01-04,2.246
2021-01-11,2.341
2021-01-18,2.352
2021-01-25,2.434
2021-02-01,2.407
2021-02-08,2.517
2021-02-15,2.499
2021-02-22,2.65
2021-03-01,2.646
2021-03-08,2.754
2021-03-15,2.904
2021-03-22,2.962
2021-03-29,2.912
2021-04-05,2.881
2021-04-12,2.89
2021-04-19,2.863
2021-04-26,2.824
2021-05-03,2.815
2021-05-10,2.915
2021-05-17,2.932
2021-05-24,2.908
2021-05-31,2.902
2021-06-07,2.888
2021-06-14,3.014
2021-06-21,2.978
2021-06-28,2.976
2021-07-05,3.056
2021-07-12,3.046
2021-07-19,3.023
2021-07-26,2.993
2021-08-02,2.998
2021-08-09,3.059
2021-08-16,3.056
2021-08-23,3.013
2021-08-30,2.994
2021-09-06,3.065
2021-09-13,3.041
2021-09-20,3.134
2021-09-27,3.096
2021-10-04,3.074
2021-10-11,3.22
2021-10-18,3.221
2021-10-25,3.362
2021-11-01,3.348
2021-11-08,3.321
2021-11-15,3.299
2021-11-22,3.396
2021-11-29,3.376
2021-12-06,3.318
2021-12-13,3.285
2021-12-20,3.25
2021-12-27,3.25
2022-01-03,3.234
2022-01-10,3.21
2022-01-17,3.252
2022-01-24,3.261
2022-01-31,3.384
2022-02-07,3.502
2022-02-14,3.485
2022-02-21,3.537
2022-02-28,3.556
2022-03-07,4.082
2022-03-14,4.366
2022-03-21,4.166
2022-03-28,4.129
2022-04-04,4.181
2022-04-11,4.082
2022-04-18,4.026
2022-04-25,4.131
2022-05-02,4.222
2022-05-09,4.236
2022-05-16,4.542
2022-05-23,4.518
2022-05-30,4.623
2022-06-06,4.807
2022-06-13,4.937
2022-06-20,4.823
2022-06-27,4.667
2022-07-04,4.533
2022-07-11,4.421
2022-07-18,4.283
2022-07-25,4.12
2022-08-01,3.965
2022-08-08,3.787
2022-08-15,3.661
2022-08-22,3.556
2022-08-29,3.639
2022-09-05,3.532
2022-09-12,3.475
2022-09-19,3.453
2022-09-26,3.43
2022-10-03,3.209
2022-10-10,3.373
2022-10-17,3.442
2022-10-24,3.396
2022-10-31,3.31
2022-11-07,3.491
2022-11-14,3.587
2022-11-21,3.486
2022-11-28,3.425
2022-12-05,3.295
2022-12-12,3.18
2022-12-19,3.045
2022-12-26,3.021
2023-01-02,3.34
2023-01-09,3.32
2023-01-16,3.322
2023-01-23,3.45
2023-01-30,3.583
2023-02-06,3.507
2023-02-13,3.409
2023-02-20,3.318
2023-02-27,3.321
2023-03-06,3.252
2023-03-13,3.35
2023-03-20,3.466
2023-03-27,3.395
2023-04-03,3.506
2023-04-10,3.626
2023-04-17,3.598
2023-04-24,3.737
2023-05-01,3.661
2023-05-08,3.572
2023-05-15,3.509
2023-05-22,3.434
2023-05-29,3.467
2023-06-05,3.392
2023-06-12,3.525
2023-06-19,3.455
2023-06-26,3.409
2023-07-03,3.332
